	Manipulation	d ecrasement	Filename	cristallisation_sel_2025-06-13.dat	Date	13/6/2025	Time	15:18:10 s	Remarque	ecrasement de  .... d'une epaisseur de 	TempsEntreMesure	60.000 s	TempsRelaxation	0.000 s	CourseTotal	0.000 mm	NbrEcrasement	0



Temps(s)	Position(mm)	Force(g)	Mouvement(0 ou 1)	Résistance(ohm)
24630.049	0.000	-5.090	0	0.000
24690.039	0.000	-5.085	0	0.000
24750.038	0.000	-5.079	0	0.000
24810.048	0.000	-5.070	0	0.000
24870.027	0.000	-5.070	0	0.000
24930.027	0.000	-5.065	0	0.000
24990.041	0.000	-5.058	0	0.000
25050.026	0.000	-5.050	0	0.000
25110.025	0.000	-5.050	0	0.000
25170.055	0.000	-5.043	0	0.000
25230.064	0.000	-5.034	0	0.000
25290.058	0.000	-5.030	0	0.000
25350.043	0.000	-5.030	0	0.000
25410.037	0.000	-5.020	0	0.000
25470.037	0.000	-5.013	0	0.000
25530.021	0.000	-5.010	0	0.000
25590.036	0.000	-5.009	0	0.000
25650.055	0.000	-5.000	0	0.000
25710.055	0.000	-4.994	0	0.000
25770.029	0.000	-4.990	0	0.000
25830.014	0.000	-4.990	0	0.000
25890.038	0.000	-4.980	0	0.000
25950.028	0.000	-4.972	0	0.000
26010.012	0.000	-4.970	0	0.000
26070.032	0.000	-4.970	0	0.000
26130.041	0.000	-4.960	0	0.000
26190.031	0.000	-4.960	0	0.000
26250.040	0.000	-4.960	0	0.000
26310.035	0.000	-4.950	0	0.000
26370.014	0.000	-4.945	0	0.000
26430.039	0.000	-4.940	0	0.000
26490.038	0.000	-4.940	0	0.000
26550.032	0.000	-4.930	0	0.000
26610.042	0.000	-4.923	0	0.000
26670.026	0.000	-4.920	0	0.000
26730.031	0.000	-4.920	0	0.000
26790.040	0.000	-4.912	0	0.000
26850.025	0.000	-4.904	0	0.000
26910.029	0.000	-4.900	0	0.000
26970.024	0.000	-4.900	0	0.000
27030.028	0.000	-4.891	0	0.000
27090.038	0.000	-4.884	0	0.000
