	Manipulation	d ecrasement	Filename	cristallisation_sel_2025-20-06bis.dat	Date	20/6/2025	Time	16:56:53 s	Remarque	ecrasement de  .... d'une epaisseur de 	TempsEntreMesure	60.000 s	TempsRelaxation	0.000 s	CourseTotal	0.000 mm	NbrEcrasement	0



Temps(s)	Position(mm)	Force(g)	Mouvement(0 ou 1)	Résistance(ohm)
15030.011	0.000	0.890	0	0.000
15090.011	0.000	0.890	0	0.000
15150.007	0.000	0.899	0	0.000
15210.040	0.000	0.904	0	0.000
15270.039	0.000	0.910	0	0.000
15330.029	0.000	0.910	0	0.000
15390.058	0.000	0.919	0	0.000
15450.040	0.000	0.926	0	0.000
15510.037	0.000	0.930	0	0.000
15570.041	0.000	0.932	0	0.000
15630.041	0.000	0.940	0	0.000
15690.065	0.000	0.940	0	0.000
15750.036	0.000	0.946	0	0.000
15810.029	0.000	0.953	0	0.000
15870.059	0.000	0.960	0	0.000
15930.068	0.000	0.960	0	0.000
15990.034	0.000	0.970	0	0.000
16050.042	0.000	0.980	0	0.000
16110.057	0.000	0.980	0	0.000
16170.048	0.000	0.982	0	0.000
16230.061	0.000	0.990	0	0.000
16290.035	0.000	0.996	0	0.000
16350.010	0.000	1.000	0	0.000
16410.039	0.000	1.000	0	0.000
16470.060	0.000	1.009	0	0.000
16530.033	0.000	1.018	0	0.000
16590.037	0.000	1.020	0	0.000
16650.037	0.000	1.022	0	0.000
16710.036	0.000	1.030	0	0.000
16770.041	0.000	1.037	0	0.000
16830.040	0.000	1.040	0	0.000
16890.050	0.000	1.045	0	0.000
16950.049	0.000	1.050	0	0.000
17010.049	0.000	1.060	0	0.000
17070.023	0.000	1.060	0	0.000
17130.023	0.000	1.068	0	0.000
17190.047	0.000	1.072	0	0.000
17250.052	0.000	1.080	0	0.000
17310.046	0.000	1.083	0	0.000
17370.061	0.000	1.090	0	0.000
17430.040	0.000	1.099	0	0.000
17490.035	0.000	1.100	0	0.000
17550.064	0.000	1.109	0	0.000
17610.069	0.000	1.111	0	0.000
17670.073	0.000	1.120	0	0.000
17730.058	0.000	1.120	0	0.000
17790.034	0.000	1.129	0	0.000
17850.027	0.000	1.134	0	0.000
17910.016	0.000	1.140	0	0.000
17970.026	0.000	1.140	0	0.000
18030.021	0.000	1.149	0	0.000
18090.015	0.000	1.155	0	0.000
18150.024	0.000	1.160	0	0.000
18210.024	0.000	1.164	0	0.000
18270.013	0.000	1.172	0	0.000
